ID,PLAYER,POSITION,AGE,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,POINTS,TEAM,GP,MPG,ORPM,DRPM,RPM,SALARY_MILLIONS,cluster
281,Anthony Brown,SF,24,0.7,2.3,3,0.7,0.5,0.1,0.5,1.4,3.9,NO/ORL,11,14.5,-1.42,-0.34,-1.76,0.06,4
282,Jarell Martin,PF,22,1,2.9,3.9,0.2,0.4,0.2,0.7,2.2,3.9,MEM,42,13.3,-4.23,1.17,-3.06,1.47,2
283,Malik Beasley,SG,20,0.2,0.5,0.8,0.5,0.3,0,0.4,0.5,3.8,DEN,22,7.5,-1.74,0.21,-1.53,1.63,5
284,Kris Dunn,PG,22,0.3,1.8,2.1,2.4,1,0.5,1.1,2.3,3.8,MIN,78,17.1,-2.64,-0.41,-3.05,3.87,3
285,Jonas Jerebko,PF,29,0.8,2.7,3.5,0.9,0.3,0.2,0.5,1.6,3.8,BOS,78,15.8,-0.89,-0.14,-1.03,5,2
286,Malachi Richardson,SG,21,0.1,0.9,1,0.5,0.2,0,0.4,1,3.6,SAC,22,9,-2.29,-0.14,-2.43,1.44,5
287,Malachi Richardson,SG,21,0.1,0.9,1,0.5,0.2,0,0.4,1,3.6,SAC,22,9,-2.29,-0.14,-2.43,1.5,5
288,Tyus Jones,PG,20,0.2,1,1.1,2.6,0.8,0.1,0.6,0.8,3.5,MIN,60,12.9,0.11,-0.34,-0.23,1.47,3
289,Adreian Payne,PF,25,0.5,1.3,1.8,0.4,0.4,0.4,0.4,1.8,3.5,MIN,18,7.5,-1.69,1.36,-0.33,2.02,2
290,Rashad Vaughn,SG,20,0.1,1.1,1.2,0.6,0.5,0.2,0.3,0.8,3.5,MIL,41,11.2,-3.44,-0.89,-4.33,1.81,5
291,Tyler Zeller,C,27,0.8,1.6,2.4,0.8,0.1,0.4,0.4,1.2,3.5,BOS,51,10.3,-2.5,0.2,-2.3,8,1
292,Dragan Bender,PF,19,0.5,1.9,2.4,0.5,0.2,0.5,0.7,1.7,3.4,PHX,43,13.3,-3.2,-0.68,-3.88,4.28,2
293,Dejounte Murray,PG,20,0.2,0.9,1.1,1.3,0.2,0.2,1,0.8,3.4,SA,38,8.5,-1.97,-0.83,-2.8,1.31,3
294,Jared Sullinger,PF,24,0.9,1.5,2.5,0.3,0.4,0.1,0.4,1.5,3.4,TOR,11,10.7,-2.7,0.9,-1.8,5.63,2
295,Henry Ellenson,PF,20,0.4,1.7,2.2,0.4,0.1,0.1,0.7,0.3,3.2,DET,19,7.7,-2.32,0.38,-1.94,1.7,2
296,Paul Pierce,SF,39,0,1.9,1.9,0.4,0.2,0.2,0.6,1.6,3.2,LAC,25,11.1,-2.04,1.24,-0.8,3.53,4
297,Maurice Ndour,PF,24,0.7,1.3,2,0.3,0.5,0.3,0.4,0.9,3.1,NY,32,10.3,-1.94,-0.37,-2.31,0.54,2
298,Jakob Poeltl,C,21,1.4,1.6,3.1,0.2,0.3,0.4,0.5,2.1,3.1,TOR,54,11.6,-2.36,1.09,-1.27,2.7,1
299,Briante Weber,PG,24,0.4,0.9,1.3,1.1,0.6,0.1,0.4,0.8,3.1,GS/CHA,20,10.3,-2.02,-1.29,-3.31,1.47,3
300,Jarrett Jack,PG,33,0,0,0,2.5,1,0,1.5,2,3,NO,2,16.5,-1.85,0.01,-1.84,0.06,3
301,Andrew Bogut,C,32,2.1,6,8.1,1.8,0.5,0.9,1.6,3.2,2.9,CLE/DAL,27,21.6,-4.01,4.34,0.33,0.24,1
302,Fred VanVleet,PG,22,0.1,1,1.1,0.9,0.4,0.1,0.4,1,2.9,TOR,37,7.9,-2.44,0.83,-1.61,1.31,3
303,Kyle Singler,SF,28,0.3,1.3,1.5,0.3,0.2,0.2,0.3,0.9,2.8,OKC,32,12,-3.25,0.9,-2.35,4.84,4
304,Omer Asik,C,30,1.5,3.7,5.3,0.5,0.2,0.3,0.5,1.6,2.7,NO,31,15.5,-2.97,1.94,-1.03,9.9,1
305,DeAndre' Bembry,SF,22,0.4,1.2,1.6,0.7,0.2,0.1,0.4,0.6,2.7,ATL,38,9.8,-2.72,-0.67,-3.39,1.5,4
306,DeAndre' Bembry,SF,22,0.4,1.2,1.6,0.7,0.2,0.1,0.4,0.6,2.7,ATL,38,9.8,-2.72,-0.67,-3.39,1.57,4
307,Marcelo Huertas,PG,33,0.1,1,1,2.3,0.4,0.1,0.8,0.7,2.7,LAL,23,10.3,-2.17,-1.25,-3.42,1.5,3
308,Marcelo Huertas,PG,33,0.1,1,1,2.3,0.4,0.1,0.8,0.7,2.7,LAL,23,10.3,-2.17,-1.25,-3.42,1.5,3
309,Wesley Johnson,SF,29,0.4,2.3,2.7,0.3,0.4,0.4,0.3,1.2,2.7,LAC,68,11.9,-3.79,2.62,-1.17,5.63,4
310,Tomas Satoransky,SG,25,0.4,1,1.5,1.6,0.5,0.1,0.7,1.1,2.7,WSH,57,12.6,-2.1,1.08,-1.02,2.87,5
311,Christian Wood,PF,21,1.1,1.2,2.2,0.2,0.2,0.5,0.5,0.8,2.7,CHA,13,8.2,-2.06,0.97,-1.09,0.87,2
312,Bryn Forbes,SG,23,0.1,0.6,0.6,0.6,0,0,0.3,0.6,2.6,SA,36,7.9,-2.78,-1.62,-4.4,1.31,5
313,Andrew Nicholson,PF,27,0.4,1.2,1.6,0.3,0.4,0.2,0.4,1.4,2.6,BKN/WSH,38,9,-3.54,-0.67,-4.21,6.09,2
314,Pat Connaughton,SG,24,0.3,1.1,1.3,0.7,0.2,0.1,0.4,0.6,2.5,POR,39,8.1,-1.28,-0.79,-2.07,1.47,5
315,DeAndre Liggins,SG,28,0.3,1.4,1.7,0.9,0.8,0.2,0.7,1.3,2.5,CLE/DAL,62,12.5,-3.13,0.76,-2.37,1.58,5
316,Miles Plumlee,C,28,0.8,1.3,2.1,0.5,0.4,0.3,0.7,1.6,2.5,MIL/CHA,45,10.8,-2.79,0.52,-2.27,12.5,1
317,Mike Scott,PF,28,0.6,1.5,2.1,0.9,0.2,0.2,0.4,0.7,2.5,ATL,18,10.8,-2.92,0.26,-2.66,3.33,2
318,Greivis Vasquez,PG,30,0,0.7,0.7,1.7,0.3,0.3,0.3,2,2.3,BKN,3,13,-1.77,-0.38,-2.15,4.35,3
319,James Young,SG,21,0.2,0.7,0.9,0.1,0.3,0.1,0.1,0.5,2.3,BOS,29,7.6,-1.88,-0.28,-2.16,1.83,5
320,Jake Layman,SF,22,0.2,0.5,0.7,0.3,0.3,0.1,0.3,0.6,2.2,POR,35,7.1,-2.99,-0.03,-3.02,1.31,4
321,Treveon Graham,SG,23,0.2,0.6,0.8,0.2,0.2,0,0.1,0.7,2.1,CHA,27,7,-2.19,0.02,-2.17,1.31,5
322,Rakeem Christmas,PF,25,0.9,1,1.9,0.1,0.1,0.2,0.3,1.3,2,IND,29,7.6,-2.2,0.5,-1.7,1.47,2
323,Demetrius Jackson,PG,22,0.4,0.4,0.8,0.6,0,0,0,0,2,BOS,5,3.4,-1.77,-0.3,-2.07,1.45,3
324,Demetrius Jackson,PG,22,0.4,0.4,0.8,0.6,0,0,0,0,2,BOS,5,3.4,-1.77,-0.3,-2.07,1.38,3
325,Udonis Haslem,C,36,0.5,1.8,2.3,0.4,0.4,0.1,0.5,1.4,1.9,MIA,16,8.1,-2.79,0.73,-2.06,4,1
326,Marshall Plumlee,C,24,1.1,1.3,2.4,0.5,0.2,0.2,0.6,1.1,1.9,NY,21,8.1,-1.75,0.65,-1.1,1.31,1
327,Lamar Patterson,SG,25,0.2,1.2,1.4,1.2,0.2,0,0.8,1.2,1.8,ATL,5,8,-2.23,0.62,-1.61,0.25,5
